Model Name,Image,Prediction,Confidence,Latency
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.1589
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1095
resnet50_notonnx,bus.jpg,minibus,0.9594,0.1420
yolo_onnx,street.jpg,bus,0.9115,0.0691
yolo_onnx,Epic.jpg,person,0.6270,0.0894
yolo_onnx,cat.jpg,cat,0.8799,0.0744
yolo_onnx,pizza.jpg,pizza,0.9178,0.0843
yolo_onnx,zidane.jpg,person,0.8248,0.0922
yolo_onnx,bus.jpg,bus,0.9070,0.1568
yolo_notonnx,street.jpg,bus,0.9115,0.2717
yolo_notonnx,Epic.jpg,person,0.6270,0.3611
yolo_notonnx,cat.jpg,cat,0.8799,0.2425
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2415
yolo_notonnx,zidane.jpg,person,0.8248,0.2366
yolo_notonnx,bus.jpg,bus,0.9070,0.2401
resnet50_onnx,street.jpg,minibus,0.9548,0.0734
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0736
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0576
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0809
resnet50_onnx,zidane.jpg,suit,0.8285,0.0694
resnet50_onnx,bus.jpg,minibus,0.9594,0.0644
resnet50_notonnx,street.jpg,minibus,0.9548,0.2101
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1641
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.1119
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.1173
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1136
resnet50_notonnx,bus.jpg,minibus,0.9594,0.1499
yolo_onnx,street.jpg,bus,0.9115,0.1223
yolo_onnx,Epic.jpg,person,0.6270,0.1037
yolo_onnx,cat.jpg,cat,0.8799,0.0862
yolo_onnx,pizza.jpg,pizza,0.9178,0.0821
yolo_onnx,zidane.jpg,person,0.8248,0.0820
yolo_onnx,bus.jpg,bus,0.9070,0.0924
yolo_notonnx,street.jpg,bus,0.9115,0.3443
yolo_notonnx,Epic.jpg,person,0.6270,0.3785
yolo_notonnx,cat.jpg,cat,0.8799,0.2495
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2374
yolo_notonnx,zidane.jpg,person,0.8248,0.2664
yolo_notonnx,bus.jpg,bus,0.9070,0.2560
resnet50_onnx,street.jpg,minibus,0.9548,0.1516
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.1099
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0863
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0633
resnet50_onnx,zidane.jpg,suit,0.8285,0.0562
resnet50_onnx,bus.jpg,minibus,0.9594,0.0549
resnet50_notonnx,street.jpg,minibus,0.9548,0.1462
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1162
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.0990
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.2279
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1237
resnet50_notonnx,bus.jpg,minibus,0.9594,0.0977
yolo_onnx,street.jpg,bus,0.9115,0.1275
yolo_onnx,Epic.jpg,person,0.6270,0.1184
yolo_onnx,cat.jpg,cat,0.8799,0.0737
yolo_onnx,pizza.jpg,pizza,0.9178,0.0692
yolo_onnx,zidane.jpg,person,0.8248,0.0766
yolo_onnx,bus.jpg,bus,0.9070,0.0809
yolo_notonnx,street.jpg,bus,0.9115,0.2604
yolo_notonnx,Epic.jpg,person,0.6270,0.3016
yolo_notonnx,cat.jpg,cat,0.8799,0.2670
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2909
yolo_notonnx,zidane.jpg,person,0.8248,0.4887
yolo_notonnx,bus.jpg,bus,0.9070,0.2763
resnet50_onnx,street.jpg,minibus,0.9548,0.0656
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0579
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0541
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0560
resnet50_onnx,zidane.jpg,suit,0.8285,0.0588
resnet50_onnx,bus.jpg,minibus,0.9594,0.0579
resnet50_notonnx,street.jpg,minibus,0.9548,0.1179
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1063
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.1581
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.1286
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1231
resnet50_notonnx,bus.jpg,minibus,0.9594,0.1062
yolo_onnx,street.jpg,bus,0.9115,0.0820
yolo_onnx,Epic.jpg,person,0.6270,0.0912
yolo_onnx,cat.jpg,cat,0.8799,0.0842
yolo_onnx,pizza.jpg,pizza,0.9178,0.0814
yolo_onnx,zidane.jpg,person,0.8248,0.0896
yolo_onnx,bus.jpg,bus,0.9070,0.0862
yolo_notonnx,street.jpg,bus,0.9115,0.2501
yolo_notonnx,Epic.jpg,person,0.6270,0.2467
yolo_notonnx,cat.jpg,cat,0.8799,0.2427
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2318
yolo_notonnx,zidane.jpg,person,0.8248,0.2426
yolo_notonnx,bus.jpg,bus,0.9070,0.2466
resnet50_onnx,street.jpg,minibus,0.9548,0.0830
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0751
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0669
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0554
resnet50_onnx,zidane.jpg,suit,0.8285,0.0594
resnet50_onnx,bus.jpg,minibus,0.9594,0.0987
resnet50_onnx,street.jpg,minibus,0.9548,0.0701
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0620
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0816
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0618
resnet50_onnx,zidane.jpg,suit,0.8285,0.0599
resnet50_onnx,bus.jpg,minibus,0.9594,0.0599
resnet50_notonnx,street.jpg,minibus,0.9548,0.1839
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1138
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.0854
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.0816
resnet50_notonnx,zidane.jpg,suit,0.8285,0.0989
resnet50_notonnx,bus.jpg,minibus,0.9594,0.1115
yolo_onnx,street.jpg,bus,0.9115,0.0888
yolo_onnx,Epic.jpg,person,0.6270,0.0942
yolo_onnx,cat.jpg,cat,0.8799,0.0814
yolo_onnx,pizza.jpg,pizza,0.9178,0.0762
yolo_onnx,zidane.jpg,person,0.8248,0.0752
yolo_onnx,bus.jpg,bus,0.9070,0.0742
yolo_notonnx,street.jpg,bus,0.9115,0.4624
